Series_2_5
Sweep_2_5_5,  5.021474720E+04, 13:56:54.747, 2020/02/26 13:56:50.717, "YLP"
"Index", "Time[s]"       , "V-mon[V]"      
    312,  1.560000000E-02, -6.756249815E-02
    313,  1.565000000E-02, -6.746874750E-02
    314,  1.570000000E-02, -6.746874750E-02
    315,  1.575000000E-02, -6.740625203E-02
    316,  1.580000000E-02, -6.759375334E-02
    317,  1.585000000E-02, -6.746874750E-02
    318,  1.590000000E-02, -6.743749976E-02
    319,  1.595000000E-02, -6.756249815E-02
    320,  1.600000000E-02, -6.750000268E-02
    321,  1.605000000E-02, -6.740625203E-02
    322,  1.610000000E-02, -6.737499684E-02
    323,  1.615000000E-02, -6.762500107E-02
    324,  1.620000000E-02, -6.750000268E-02
    325,  1.625000000E-02, -6.750000268E-02
    326,  1.630000000E-02, -6.750000268E-02
    327,  1.635000000E-02, -6.750000268E-02
    328,  1.640000000E-02, -6.746874750E-02
    329,  1.645000000E-02, -6.746874750E-02
    330,  1.650000000E-02, -6.731250137E-02
    331,  1.655000000E-02, -6.743749976E-02
    332,  1.660000000E-02, -6.750000268E-02
    333,  1.665000000E-02, -6.740625203E-02
    334,  1.670000000E-02, -6.750000268E-02
    335,  1.675000000E-02, -6.743749976E-02
    336,  1.680000000E-02, -6.743749976E-02
    337,  1.685000000E-02, -6.743749976E-02
    338,  1.690000000E-02, -6.746874750E-02
    339,  1.695000000E-02, -6.743749976E-02
    340,  1.700000000E-02, -6.743749976E-02
    341,  1.705000000E-02, -6.746874750E-02
    342,  1.710000000E-02, -6.740625203E-02
    343,  1.715000000E-02, -6.746874750E-02
    344,  1.720000000E-02, -6.750000268E-02
    345,  1.725000000E-02, -6.750000268E-02
    346,  1.730000000E-02, -6.746874750E-02
    347,  1.735000000E-02, -6.743749976E-02
    348,  1.740000000E-02, -6.753125042E-02
    349,  1.745000000E-02, -6.750000268E-02
    350,  1.750000000E-02, -6.740625203E-02
    351,  1.755000000E-02, -6.746874750E-02
    352,  1.760000000E-02, -6.750000268E-02
    353,  1.765000000E-02, -6.746874750E-02
    354,  1.770000000E-02, -6.737499684E-02
    355,  1.775000000E-02, -6.750000268E-02
    356,  1.780000000E-02, -6.759375334E-02
    357,  1.785000000E-02, -6.753125042E-02
    358,  1.790000000E-02, -6.750000268E-02
    359,  1.795000000E-02, -6.746874750E-02
    360,  1.800000000E-02, -6.743749976E-02
    361,  1.805000000E-02, -6.750000268E-02
    362,  1.810000000E-02, -6.759375334E-02
    363,  1.815000000E-02, -6.759375334E-02
    364,  1.820000000E-02, -6.750000268E-02
    365,  1.825000000E-02, -6.750000268E-02
    366,  1.830000000E-02, -6.774999946E-02
    367,  1.835000000E-02, -6.750000268E-02
    368,  1.840000000E-02, -6.746874750E-02
    369,  1.845000000E-02, -6.743749976E-02
    370,  1.850000000E-02, -6.759375334E-02
    371,  1.855000000E-02, -6.753125042E-02
    372,  1.860000000E-02, -6.759375334E-02
    373,  1.865000000E-02, -6.750000268E-02
    374,  1.870000000E-02, -6.756249815E-02
    375,  1.875000000E-02, -6.750000268E-02
    376,  1.880000000E-02, -6.753125042E-02
    377,  1.885000000E-02, -6.753125042E-02
    378,  1.890000000E-02, -6.743749976E-02
    379,  1.895000000E-02, -6.743749976E-02
    380,  1.900000000E-02, -6.753125042E-02
    381,  1.905000000E-02, -6.740625203E-02
    382,  1.910000000E-02, -6.762500107E-02
    383,  1.915000000E-02, -6.750000268E-02
    384,  1.920000000E-02, -6.740625203E-02
    385,  1.925000000E-02, -6.756249815E-02
    386,  1.930000000E-02, -6.750000268E-02
    387,  1.935000000E-02, -6.750000268E-02
    388,  1.940000000E-02, -6.753125042E-02
    389,  1.945000000E-02, -6.746874750E-02
    390,  1.950000000E-02, -6.743749976E-02
    391,  1.955000000E-02, -6.746874750E-02
    392,  1.960000000E-02, -6.746874750E-02
    393,  1.965000000E-02, -6.750000268E-02
    394,  1.970000000E-02, -6.756249815E-02
    395,  1.975000000E-02, -6.753125042E-02
    396,  1.980000000E-02, -6.753125042E-02
    397,  1.985000000E-02, -6.746874750E-02
    398,  1.990000000E-02, -6.750000268E-02
    399,  1.995000000E-02, -6.753125042E-02
    400,  2.000000000E-02, -6.743749976E-02
    401,  2.005000000E-02, -6.743749976E-02
    402,  2.010000000E-02, -6.746874750E-02
    403,  2.015000000E-02, -6.746874750E-02
    404,  2.020000000E-02, -6.750000268E-02
    405,  2.025000000E-02, -6.756249815E-02
    406,  2.030000000E-02, -6.759375334E-02
    407,  2.035000000E-02, -6.762500107E-02
    408,  2.040000000E-02, -6.750000268E-02
    409,  2.045000000E-02, -6.756249815E-02
    410,  2.050000000E-02, -6.743749976E-02
    411,  2.055000000E-02, -6.746874750E-02
    412,  2.060000000E-02, -6.759375334E-02
    413,  2.065000000E-02, -6.756249815E-02
    414,  2.070000000E-02, -6.762500107E-02
    415,  2.075000000E-02, -6.756249815E-02
    416,  2.080000000E-02, -6.750000268E-02
    417,  2.085000000E-02, -6.750000268E-02
    418,  2.090000000E-02, -6.759375334E-02
    419,  2.095000000E-02, -6.746874750E-02
    420,  2.100000000E-02, -6.756249815E-02
